Disease,Symptoms,Type
Spider Veins,small web-like veins on skin,Normal
Otitis Media,"fluid in ear, fever, earache",Normal
Hyperopia,difficulty seeing close objects,Normal
Phenylketonuria,"musty breath, tremors, skin rash, seizures",Serious
Clostridium Difficile,"fever, severe diarrhea, stomach pain",Serious
Oral Thrush,white patches in mouth,Normal
Ascariasis,"worms in stool, cough, abdominal pain",Serious
Anemia,"fatigue, shortness of breath, pale skin",Normal
Cerebral Palsy,movement issues,Serious
"Hand, Foot, and Mouth Disease","sores in mouth, rash on hands/feet",Normal
Goodpasture Syndrome,"coughing blood, blood in urine",Critical
Rotator Cuff Tear,"pain lifting arm, shoulder weakness",Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Kawasaki Disease,"swelling, high fever, red eyes",Serious
Tennis Elbow,"elbow pain, weak grip",Normal
Huntington's Disease,"cognitive decline, involuntary movements, mood swings",Critical
Vitiligo,"loss of skin color, patches",Normal
Tourette Syndrome,"repetitive movements, motor tics, vocal tics",Normal
Cirrhosis,"fatigue, weight loss, confusion, swelling",Critical
Osteomyelitis,"fever, swelling, bone pain",Serious
Anemia,"fatigue, shortness of breath, pale skin",Normal
Gingivitis,"bad breath, swollen gums, bleeding",Normal
Ebola,fever,Critical
Metabolic Syndrome,weight gain,Serious
Mumps,"fever, swollen glands, headache, muscle pain",Normal
Traction Alopecia,hair loss from tight styles,Normal
ADHD,"impulsiveness, hyperactivity, inattention",Normal
Angioedema,deep swelling under skin,Serious
Gonorrhea,"testicular pain, discharge",Serious
"Hand, Foot, and Mouth Disease","rash on hands/feet, sores in mouth",Normal
Pneumonia,"fever, fatigue, chills, difficulty breathing, cough, chest pain",Serious
Excessive Sweating,"damp palms, uncontrolled sweating",Normal
Bacterial Vaginosis,"grayish discharge, fishy odor",Normal
Vitamin B12 Deficiency,"tingling, tongue soreness",Normal
Athlete's Foot,"itching, redness on feet, scaling",Normal
Filariasis,swelling of limbs (elephantiasis),Serious
Skin Cancer,abnormal growth,Critical
GERD,"acid reflux, regurgitation, heartburn",Normal
Pneumonia,"fatigue, chest pain, difficulty breathing, chills, cough, fever",Serious
Dementia,"behavior changes, memory loss, confusion",Serious
Anthrax,"fever, skin sores, breathing issues",Critical
Herpes Simplex Type 1,cold sores around mouth,Normal
Whooping Cough,"vomiting, severe coughing, whooping sound",Serious
Stretch Marks,lines on skin from rapid growth,Normal
Filariasis,swelling of limbs (elephantiasis),Serious
Carbuncles,cluster of boils,Serious
Hives,"skin redness, itchy welts, swelling",Normal
Rheumatoid Arthritis,"swelling, joint pain, fatigue",Serious
Liver Cancer,"weight loss, abdominal pain, fatigue, jaundice",Critical
Ankylosing Spondylitis,"stiffness in morning, back pain",Serious
Presbyopia,age-related near vision loss,Normal
Edward's Syndrome,severe developmental delays,Critical
Obesity,weight gain,Normal
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Hives,"itchy welts, skin redness",Normal
Cat Scratch Disease,"swollen nodes, bump at site",Normal
Pericarditis,"weakness, chest pain, fever",Serious
Color Blindness,difficulty seeing certain colors,Normal
Restless Legs Syndrome,"crawling sensation, urge to move legs",Normal
Rotavirus,"watery diarrhea, fever",Normal
Ovarian Cysts,"irregular periods, pelvic pain, bloating",Serious
Granuloma Annulare,reddish bumps in a ring,Normal
Seasonal Affective Disorder,depression during winter months,Normal
Perioral Dermatitis,small red bumps around mouth,Normal
Kidney Failure,"decreased urination, fatigue",Critical
Psittacosis,"headache, dry cough",Serious
Anaphylaxis,"hives, swelling",Critical
Bursitis,"joint pain, swelling, redness",Normal
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Laryngitis,"dry cough, hoarseness, voice loss",Normal
Scabies,"skin irritation, rash, itching",Normal
Hemorrhoids,rectal pain,Normal
COPD,"chronic cough, breathlessness, fatigue, mucus, wheezing",Serious
Common Wart,"rough skin growths, black dots",Normal
Hepatitis B,yellow eyes,Serious
Gonorrhea,"painful urination, testicular pain, discharge",Serious
Tuberculosis,"night sweats, persistent cough, weight loss, fatigue, chest pain",Serious
Back Pain,"lower back pain, muscle ache, stiffness",Normal
Bruxism,"jaw pain, teeth grinding",Normal
Spider Bite,"two puncture marks, swelling, pain",Normal
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Aortic Aneurysm,"back pain, shortness of breath",Critical
Social Anxiety,sweating,Normal
"Hand, Foot, and Mouth",blisters in mouth and extremities,Normal
Infertility,"inability to conceive, irregular cycles",Serious
Diabetic Neuropathy,"pain, numbness, weakness",Serious
Botulism,"drooping eyelids, double vision",Critical
Thalassemia,"weakness, pale skin, dark urine, fatigue",Serious
Coronary Artery Disease,"chest pain, fatigue, shortness of breath",Serious
Goiter,"neck swelling, hoarseness, difficulty swallowing",Normal
Hemophilia,"joint pain, excessive bleeding, easy bruising",Critical
Osteoarthritis,"swelling, stiffness",Normal
Dracunculiasis (Guinea Worm),"painful blister, worm emergence",Serious
ADHD,"inattention, impulsiveness, hyperactivity",Normal
Malaria,high fever,Serious
Tick Bite,"red spot, potential bullseye",Normal
Pancreatitis,"vomiting, nausea, fever, upper abdominal pain",Serious
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Erythema Infectiosum,slapped cheek rash,Normal
Down Syndrome,"distinct facial features, delayed development",Serious
Cellulitis,"swelling, pain, fever, redness",Serious
Tennis Elbow,"elbow pain, weak grip",Normal
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Scarlet Fever,"sore throat, strawberry tongue",Serious
Keloids,raised thickened scar tissue,Normal
Stye,"red lump on eyelid, pain, swelling",Normal
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Concussion,"memory loss, confusion, dizziness",Serious
Bladder Cancer,"blood in urine, pelvic pain, frequent urination",Critical
Astigmatism,blurred vision at all distances,Normal
Spina Bifida,"weakness, visible gap in spine",Serious
Takayasu's Arteritis,"weak pulse, chest pain, dizziness",Serious
Onychomycosis,yellowed nails,Normal
Lordosis,excessive inward curve of lower back,Normal
Sinus Infection,"headache, nasal congestion, facial pressure",Normal
Spina Bifida,"visible gap in spine, weakness",Serious
Stroke,"sudden weakness, vision problems, confusion, headache",Critical
Traction Alopecia,hair loss from tight styles,Normal
Cushing Syndrome,"fatigue, muscle weakness",Serious
Excessive Sweating,"damp palms, uncontrolled sweating",Normal
Synovitis,"joint swelling, pain, stiffness",Normal
Ovarian Cancer,"frequent urination, bloating",Critical
Insect Bite,itching,Normal
Multiple Sclerosis,"weakness, numbness, vision problems, fatigue",Serious
Back Pain,lower back pain,Normal
Lipoma,soft fatty lump under skin,Normal
Urinary Tract Infection,"burning urination, cloudy urine, urgency",Normal
Melanoma,mole changes,Critical
Urticaria (Hives),raised itchy welts,Normal
Thrush (Vaginal),itching,Normal
Albinism,lack of pigment in skin/hair/eyes,Normal
Anaphylaxis,"swelling, hives, difficulty breathing",Critical
Xerosis (Dry Skin),"rough, flaky skin",Normal
Heat Rash,"small red bumps, prickly sensation",Normal
Flat Feet,entire sole touches floor,Normal
Brain Tumor,"nausea, seizures, vision problems, headache",Critical
COPD,"breathlessness, fatigue, chronic cough, wheezing",Serious
Mumps,"muscle pain, fever, headache, swollen glands",Normal
Dissociative Identity,presence of multiple personalities,Serious
Hemangioma,bright red birthmark,Normal
Tetanus,"spasms, jaw locking, muscle stiffness",Critical
Chikungunya,"rash, joint pain, fatigue, fever",Serious
Marfan Syndrome,"tall/thin build, long fingers, heart murmurs",Serious
Chapped Lips,"dry, cracked, peeling lips",Normal
Rat-bite Fever,"joint pain, rash, fever",Serious
Thrush (Vaginal),"thick white discharge, itching",Normal
Salmonellosis,"diarrhea, stomach cramps",Normal
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Muscular Dystrophy,"walking difficulty, frequent falls, muscle weakness",Critical
Abscessed Tooth,"severe toothache, swelling, fever",Serious
Dermatitis Herpetiformis,very itchy blisters on elbows/knees,Serious
Angioedema,deep swelling under skin,Serious
Mumps,"fever, muscle pain, swollen glands",Normal
Color Blindness,difficulty seeing certain colors,Normal
Rosacea,"bumps, facial redness, visible blood vessels",Normal
Angina,"fatigue, shortness of breath, chest pain, pressure",Serious
Pancreatic Cancer,"weight loss, back pain, fatigue, jaundice",Critical
Croup,"fever, barking cough, hoarseness",Normal
Trigger Finger,finger stuck in bent position,Normal
Chagas Disease,"swelling at bite, fever",Serious
Trichotillomania,hair pulling disorder,Normal
Scoliosis,"back pain, uneven shoulders, curved spine",Serious
Anaphylaxis,"difficulty breathing, swelling, hives",Critical
Chronic Fatigue Syndrome,"muscle pain, memory issues, extreme fatigue",Serious
Bursitis,"redness, joint pain, swelling",Normal
Diarrhea,"stomach cramps, loose stools",Normal
Ebola,"vomiting, bleeding, weakness, fever",Critical
Fixed Drug Eruption,recurring rash in same spot,Normal
Diabetes,"blurred vision, frequent urination, fatigue",Serious
Fixed Drug Eruption,recurring rash in same spot,Normal
Scabies,"itching, rash",Normal
Genital Warts,small bumps in genital area,Serious
Hyperglycemia,"high blood sugar, thirst",Serious
Peptic Ulcer,"weight loss, burning stomach pain, nausea, bloating",Serious
Bacterial Vaginosis,"itching, grayish discharge, fishy odor",Normal
Stye,"pain, red lump on eyelid",Normal
Hernia,"bulge in abdomen, pain while lifting, pressure",Normal
Boils (Furuncles),painful pus-filled bumps,Normal
Gastritis,"bloating, stomach pain, indigestion, vomiting, nausea",Normal
Dengue Fever,"rash, joint pain, high fever",Serious
Sinus Infection,"headache, nasal congestion",Normal
Postpartum Depression,"sadness after childbirth, fatigue",Serious
Shigellosis,"fever, bloody diarrhea, stomach pain",Serious
Dengue Fever,"joint pain, rash, severe headache, high fever",Serious
PTSD,"flashbacks, nightmares",Serious
Fatty Liver Disease,"pain in upper right abdomen, fatigue",Serious
Polio,"paralysis, fever, muscle weakness",Critical
Raynaud's Disease,"cold fingers, color change to white/blue",Normal
Typhoid,"abdominal pain, weakness, prolonged fever",Serious
Tennis Elbow,"elbow pain, weak grip",Normal
Lichen Planus,"itching, purple flat bumps",Normal
Stye,"swelling, red lump on eyelid, pain",Normal
Herpangina,small ulcers in back of throat,Normal
Chapped Lips,"dry, peeling lips, cracked",Normal
Arrhythmia,"dizziness, fatigue, palpitations, irregular heartbeat",Serious
Thalassemia,"fatigue, weakness, dark urine, pale skin",Serious
Vitiligo,"patches, loss of skin color",Normal
Abscessed Tooth,"severe toothache, fever",Serious
Vibriosis,"watery diarrhea, abdominal cramps",Normal
Herpangina,small ulcers in back of throat,Normal
Glanders,"chest pain, muscle aches",Serious
Gallbladder Attack,"nausea, severe upper right pain",Serious
Diabetic Neuropathy,"tingling, weakness, pain",Serious
Heartburn,"burning chest pain, sour taste",Normal
Whiplash,"neck pain, stiffness after injury",Normal
Xerosis (Dry Skin),"flaky skin, rough",Normal
Vertigo,"dizziness, nausea, balance issues",Normal
Hookworm Infection,abdominal pain,Serious
Cytomegalovirus Infection,"fatigue, body aches, fever",Serious
Cat Scratch Disease,"swollen nodes, bump at site",Normal
Patau Syndrome,"physical abnormalities, brain defects",Critical
Personality Disorder,"emotional instability, behavior issues",Serious
Dyscalculia,difficulty with numbers/math,Normal
Trichinosis,"fever, swelling",Serious
Necrotizing Fasciitis,"redness, intense pain, skin death",Critical
Gout,"joint pain, swelling, tenderness",Normal
Port-Wine Stain,dark red/purple birthmark,Normal
Laryngitis,"hoarseness, dry cough, sore throat, voice loss",Normal
Acanthosis Nigricans,dark velvety skin in folds,Normal
Metabolic Syndrome,"fatigue, weight gain, high blood pressure",Serious
Hirsutism,excessive hair growth in women,Normal
Measles,"fever, runny nose, rash",Normal
Shigellosis,"bloody diarrhea, fever, stomach pain",Serious
Corns and Calluses,thickened skin areas,Normal
Cytomegalovirus Infection,"body aches, fever, fatigue",Serious
Bullous Pemphigoid,large firm skin blisters,Serious
Marfan Syndrome,"tall/thin build, long fingers, heart murmurs",Serious
Tinea Versicolor,discolored skin patches,Normal
Hiccups,involuntary diaphragm contractions,Normal
Dermatographism,raised marks after scratching skin,Normal
Acne Vulgaris,"blackheads, oily skin",Normal
Ichthyosis Vulgaris,"dry, scaly skin like fish scales",Normal
Peripheral Artery Disease,"leg pain, numbness, weakness",Serious
Sinus Infection,"facial pressure, nasal congestion, headache",Normal
Dermatitis,"itching, rash, swelling",Normal
Glaucoma,"blurred vision, halo lights",Serious
Hirsutism,excessive hair growth in women,Normal
Tinea Pedis,athlete's foot,Normal
Muscle Strain,"stiffness, swelling, weakness",Normal
Bacterial Vaginosis,"fishy odor, itching, grayish discharge",Normal
"Hand, Foot, and Mouth Disease","rash on hands/feet, sores in mouth",Normal
Influenza B,"cough, fatigue, fever, chills",Normal
Buerger's Disease,"pain in hands/feet, skin ulcers",Serious
Aortic Aneurysm,"chest pain, back pain, shortness of breath",Critical
Sleep Apnea,"headache, fatigue, snoring, breathing pauses during sleep",Serious
Pneumonia,"fever, fatigue, cough, difficulty breathing, chest pain, chills",Serious
Epiglottitis,"difficulty breathing, drooling",Critical
Otitis Media,"earache, fluid in ear",Normal
Herpes Simplex Type 1,cold sores around mouth,Normal
Osteoarthritis,"swelling, joint pain, stiffness",Normal
Hepatitis,"fatigue, jaundice, dark urine, abdominal pain, nausea",Serious
Iron Deficiency Anemia,"brittle nails, shortness of breath, tiredness",Normal
Hashimoto's Thyroiditis,"dry skin, cold intolerance, fatigue",Serious
Rubella,"swollen nodes, pink rash, fever",Normal
Varicose Veins,"heaviness, swollen veins, leg pain, itching",Normal
Androgenetic Alopecia,male/female pattern baldness,Normal
Bipolar Disorder,"depression, mood swings, mania",Serious
Uterine Fibroids,"bloating, heavy periods, pelvic pain",Serious
Muscular Dystrophy,"frequent falls, muscle weakness, walking difficulty",Critical
Chagas Disease,"swelling at bite, fever, fatigue",Serious
Aortic Aneurysm,"shortness of breath, back pain",Critical
Cerebral Palsy,"stiffness, poor coordination",Serious
Umbilical Hernia,bulge at the belly button,Normal
Umbilical Hernia,bulge at the belly button,Normal
Tick Bite,"potential bullseye, red spot",Normal
Genu Varum (Bow Legs),knees apart while ankles touch,Normal
Schizophrenia,"delusions, hallucinations",Critical
Callus,thickened skin from friction,Normal
Fleabites,small itchy red bumps on ankles,Normal
Kidney Stones,"nausea, blood in urine, severe back pain",Serious
Gout,"tenderness, redness, swelling, joint pain",Normal
Polycystic Kidney Disease,"high blood pressure, back pain, blood in urine",Serious
Heartburn,"sour taste, burning chest pain",Normal
Postpartum Depression,"fatigue, sadness after childbirth",Serious
Synovitis,"stiffness, joint swelling, pain",Normal
Chikungunya,"fatigue, rash, joint pain, fever",Serious
Lichen Sclerosus,white thin skin in genital area,Normal
Ingrown Toenail,"pain, swelling at nail corner, redness",Normal
Gouty Arthritis,"sudden intense joint pain, redness",Serious
Reye's Syndrome,seizures,Critical
Dengue Fever,high fever,Serious
Intertrigo,rash in skin folds,Normal
Dementia,"confusion, behavior changes, memory loss",Serious
Phobia,"intense fear, avoidance, anxiety",Normal
Kidney Stones,blood in urine,Serious
Urinary Tract Infection,cloudy urine,Normal
Postpartum Depression,"sadness after childbirth, fatigue",Serious
Pitted Keratolysis,small pits on soles of feet,Normal
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Anthrax,"breathing issues, fever, skin sores",Critical
Stroke,"vision problems, headache, sudden weakness, confusion",Critical
Lipoma,soft fatty lump under skin,Normal
Plantar Warts,hard growths on soles,Normal
Phobia,"anxiety, intense fear",Normal
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Spider Bite,"swelling, two puncture marks",Normal
Fibromyalgia,"muscle pain, sleep problems, fatigue",Normal
Pityriasis Rosea,large herald patch followed by small spots,Normal
Cushing's Syndrome,"moon face, purple stretch marks, weight gain",Serious
Concussion,"headache, memory loss, dizziness, confusion",Serious
GERD,"chest discomfort, regurgitation, heartburn",Normal
Goiter,"neck swelling, difficulty swallowing",Normal
Otitis Media,"fever, earache, fluid in ear",Normal
Bronchitis,"fatigue, persistent cough, chest discomfort, wheezing, mucus",Normal
Agoraphobia,fear of places where escape is hard,Serious
Bejel,"skin lesions, mouth sores",Normal
Vitiligo,patches,Normal
Port-Wine Stain,dark red/purple birthmark,Normal
Scabies,"rash, skin irritation, itching",Normal
Lactose Intolerance,"diarrhea after dairy, gas, bloating",Normal
Liver Cirrhosis,"fatigue, jaundice, fluid buildup",Critical
Asthma,"fatigue, shortness of breath, wheezing, chest tightness, coughing",Serious
Tay-Sachs Disease,"seizures, loss of motor skills",Critical
Chikungunya,"fatigue, fever, rash",Serious
Erysipelas,"raised red skin rash, fever",Serious
Anaphylaxis,"swelling, difficulty breathing, hives",Critical
Pemphigus Vulgaris,blisters in mouth and skin,Serious
Trichotillomania,hair pulling disorder,Normal
Hepatitis A,"fatigue, nausea, jaundice, dark urine",Serious
Dengue Fever,"high fever, severe headache, joint pain, rash",Serious
Presbyopia,age-related near vision loss,Normal
Sepsis,"confusion, shivering, high heart rate, fever",Critical
Clostridium Difficile,"stomach pain, severe diarrhea, fever",Serious
Bruxism,"teeth grinding, jaw pain",Normal
Bunions,bony bump at base of big toe,Normal
Lichen Sclerosus,white thin skin in genital area,Normal
Kidney Cancer,"weight loss, blood in urine",Critical
Ear Infection,"drainage, ear pain, hearing loss",Normal
Trichotillomania,hair pulling disorder,Normal
Ear Infection,hearing loss,Normal
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Zika Virus,rash,Normal
Gingivitis,"bleeding, swollen gums, bad breath",Normal
Constipation,"difficulty passing stool, abdominal pain",Normal
Agoraphobia,fear of places where escape is hard,Serious
Dry Eye Syndrome,blurred vision,Normal
Nummular Eczema,coin-shaped itchy skin patches,Normal
Hypothyroidism,"dry skin, fatigue, cold intolerance, weight gain",Normal
Leukemia,"fatigue, infections, easy bleeding, fever",Critical
Sleeping Sickness,"joint pain, fever, sleep disruption",Critical
Cardiomyopathy,"dizziness, fatigue, shortness of breath, swelling",Serious
River Blindness,"severe itching, vision loss, skin bumps",Serious
Erectile Dysfunction,low libido,Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Huntington's Disease,"mood swings, cognitive decline, involuntary movements",Critical
H1N1 Flu,"sore throat, body ache, fever",Serious
Candidiasis,yeast infection symptoms,Normal
Myopia,difficulty seeing far objects,Normal
Gigantism,"fatigue, joint pain, abnormal growth",Serious
Intertrigo,rash in skin folds,Normal
Restless Legs Syndrome,"urge to move legs, crawling sensation",Normal
Chapped Lips,"dry, peeling lips",Normal
Schistosomiasis,"blood in urine/stool, abdominal pain",Serious
Osteomyelitis,"fever, bone pain, swelling",Serious
Yaws,"bone pain, skin sores",Serious
Avian Flu,"cough, muscle aches, fever, sore throat",Critical
Septic Arthritis,"joint pain, fever",Critical
Herpes Simplex Type 2,"genital sores, itching",Serious
Baker's Cyst,"swelling behind the knee, tightness",Normal
Yaws,"bone pain, skin sores",Serious
Nosebleed,bleeding from nostrils,Normal
Raynaud's Disease,"color change to white/blue, cold fingers",Normal
Dengue,"joint pain, rash, fever, headache",Serious
Infertility,"irregular cycles, inability to conceive",Serious
Tendonitis,"stiffness, pain",Normal
Zika Virus,"red eyes, rash, joint pain",Normal
SARS,"high fever, cough, difficulty breathing",Critical
Ulcerative Colitis,"weight loss, abdominal pain, fatigue, bloody diarrhea",Serious
Arthritis,"reduced movement, joint pain, stiffness",Normal
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Endocarditis,"fever, heart murmur, chills, fatigue",Serious
Sunburn,"blistering, red skin, pain, peeling",Normal
Osteoarthritis,"swelling, joint pain, stiffness",Normal
Body Odor,unpleasant smell from sweat,Normal
Dupuytren's Contracture,fingers pulled toward palm,Normal
Ebola Virus,"weakness, bleeding, muscle pain, fever",Critical
Edward's Syndrome,severe developmental delays,Critical
Lymphedema,swelling in arms or legs,Serious
Salmonellosis,"fever, diarrhea",Normal
Liver Cancer,"jaundice, weight loss, abdominal pain, fatigue",Critical
PCOS,"hair growth, irregular periods, acne",Normal
Meningitis,"sensitivity to light, stiff neck, headache, fever",Critical
Tinea Cruris,jock itch,Normal
Photosensitivity,rash after sun exposure,Normal
Migraine,"nausea, light sensitivity, vomiting, severe headache",Normal
Lordosis,excessive inward curve of lower back,Normal
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Autism Spectrum Disorder,"social difficulty, repetitive behavior",Serious
Spinal Stenosis,"leg numbness while walking, back pain",Serious
Tick Bite,"red spot, potential bullseye",Normal
Eczema,"rash, redness, dry skin",Normal
Graves' Disease,"anxiety, bulging eyes, weight loss",Serious
Hepatitis C,"jaundice, loss of appetite, fatigue",Serious
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Dermatographism,raised marks after scratching skin,Normal
Anal Fissure,"bleeding, pain during bowel movements",Normal
Heat Rash,"prickly sensation, small red bumps",Normal
"Hand, Foot, and Mouth",blisters in mouth and extremities,Normal
Corneal Abrasion,"redness, eye pain, feeling of grit",Serious
Kidney Failure,"fatigue, swelling",Critical
Dermatitis,swelling,Normal
Alopecia Areata,"patchy hair loss, smooth scalp",Normal
